YEAR,CRUISE,STATION,STATION_ID,STRATUM,AREA,BOTTOM_TYPE,VESSEL_NAME,BEGIN_SET_DATE,BEGIN_SET_TIME,END_SET_DATE,END_SET_TIME,BEGIN_HAUL_DATE,BEGIN_HAUL_TIME,END_HAUL_DATE,END_HAUL_TIME,DECDEG_BEGLAT_SET,DECDEG_BEGLON_SET,DECDEG_ENDLAT_SET,DECDEG_ENDLON_SET
2015,24151,1,281-2,28,521,SMOOTH,TENACIOUS II,4/26/2015,15:15:00,4/26/2015,15:27,4/26/2015,17:34,4/26/2015,18:18,42.11327,-69.3431,42.09658,-69.338
2015,24151,2,280-3,28,515,ROUGH,TENACIOUS II,4/26/2015,21:27:00,4/26/2015,21:39,4/26/2015,23:41,4/27/2015,12:22,42.33989,-68.8222,42.35801,-68.8258
2015,24151,3,280-5,28,515,ROUGH,TENACIOUS II,4/27/2015,10:04:00,4/27/2015,10:13,4/27/2015,12:18,4/27/2015,13:02,42.57253,-68.8759,42.55785,-68.8675
2015,24151,4,281-1,28,515,SMOOTH,TENACIOUS II,4/27/2015,16:00:00,4/27/2015,16:11,4/27/2015,18:14,4/27/2015,18:58,42.55981,-69.1511,42.54375,-69.1488
2015,24151,5,270-2,27,514,ROUGH,TENACIOUS II,4/29/2015,17:55:00,4/29/2015,18:05,4/29/2015,20:08,4/29/2015,20:57,42.63464,-70.0185,42.61799,-70.0109
2015,24151,6,270-1,27,521,ROUGH,TENACIOUS II,4/30/2015,12:04:00,4/30/2015,12:14,4/30/2015,2:17,4/30/2015,3:01,42.2679,-69.9182,42.25137,-69.9211
2015,24151,7,270-3,27,521,ROUGH,TENACIOUS II,4/30/2015,12:17:00,4/30/2015,12:27,4/30/2015,14:33,4/30/2015,15:20,42.13018,-69.8091,42.11392,-69.8142
2015,24151,8,270-5,27,521,ROUGH,TENACIOUS II,4/30/2015,18:47:00,4/30/2015,18:56,4/30/2015,20:59,4/30/2015,21:41,42.11611,-69.859,42.10002,-69.8601
2015,24151,9,370-2,37,515,ROUGH,TENACIOUS II,5/2/2015,7:55:00,5/2/2015,8:08,5/2/2015,10:09,5/2/2015,10:52,42.71767,-69.0303,42.70191,-69.027
2015,24151,10,370-3,37,515,ROUGH,TENACIOUS II,5/2/2015,14:07:00,5/2/2015,14:20,5/2/2015,16:24,5/2/2015,17:16,42.90885,-68.4743,42.92338,-68.4834
2015,24151,11,361_2,36,515,SMOOTH,TENACIOUS II,5/2/2015,20:03:00,5/2/2015,20:14,5/2/2015,22:23,5/2/2015,23:05,43.16054,-68.3651,43.14514,-68.359
2015,24151,12,360-4,36,515,ROUGH,TENACIOUS II,5/3/2015,8:42:00,5/3/2015,8:52,5/3/2015,10:57,5/3/2015,11:41,43.21587,-68.4261,43.2037,-68.4123
2015,24151,13,360-6,36,515,ROUGH,TENACIOUS II,5/3/2015,14:33:00,5/3/2015,14:44,5/3/2015,16:47,5/3/2015,17:34,43.0132,-68.3465,43.02484,-68.3621
2015,24151,14,371-2,37,515,SMOOTH,TENACIOUS II,5/3/2015,20:50:00,5/3/2015,21:00,5/3/2015,23:08,5/3/2015,23:45,42.82699,-68.6169,42.81121,-68.6193
2015,24151,15,280-2,28,515,ROUGH,TENACIOUS II,5/5/2015,22:38:00,5/5/2015,22:48,5/6/2015,12:52,5/6/2015,1:36,42.37133,-69.5407,42.38741,-69.5417
2015,24151,16,290-4,29,515,ROUGH,TENACIOUS II,5/6/2015,10:26:00,5/6/2015,10:35,5/6/2015,12:41,5/6/2015,13:21,42.46275,-67.9976,42.44816,-67.9851
2015,24151,17,290-2,29,515,ROUGH,TENACIOUS II,5/6/2015,16:35:00,5/6/2015,16:45,5/6/2015,18:57,5/6/2015,19:40,42.34388,-67.8486,42.35557,-67.8663
2015,24151,18,291-1,29,515,SMOOTH,TENACIOUS II,5/6/2015,22:40:00,5/6/2015,22:51,5/7/2015,12:51,5/7/2015,1:41,42.39863,-67.8155,42.41477,-67.8184
2015,24151,19,290-6,29,515,ROUGH,TENACIOUS II,5/7/2015,11:20:00,5/7/2015,11:31,5/7/2015,13:32,5/7/2015,14:19,42.35319,-67.7991,42.33796,-67.7956
2015,24151,20,290-1,29,522,ROUGH,TENACIOUS II,5/7/2015,17:17:00,5/7/2015,17:28,5/7/2015,19:37,5/7/2015,20:20,42.26385,-67.9818,42.27921,-67.9892
2015,24151,21,291-2,29,522,SMOOTH,TENACIOUS II,5/7/2015,23:20:00,5/7/2015,23:30,5/8/2015,1:28,5/8/2015,2:20,42.24274,-67.872,42.22598,-67.8672
2015,25151,1,261-2,26,514,SMOOTH,MARY ELIZABETH,4/25/2015,20:25:00,4/25/2015,20:42,4/25/2015,22:49,4/26/2015,12:04,42.36955,-70.561,42.38196,-70.5733
2015,25151,2,260-4,26,514,ROUGH,MARY ELIZABETH,4/26/2015,8:38:00,4/26/2015,8:57,4/26/2015,11:05,4/26/2015,12:25,42.64836,-70.3101,42.6616,-70.3246
2015,25151,3,271-1,27,513,SMOOTH,MARY ELIZABETH,4/26/2015,14:59:00,4/26/2015,15:17,4/26/2015,17:25,4/26/2015,18:37,42.83724,-70.1162,42.82251,-70.1025
2015,25151,4,260-3,26,514,ROUGH,MARY ELIZABETH,4/26/2015,21:20:00,4/26/2015,21:39,4/26/2015,23:42,4/27/2015,1:00,42.76655,-70.1574,42.78133,-70.1705
2015,25151,5,260-5,26,514,ROUGH,MARY ELIZABETH,4/27/2015,9:46:00,4/27/2015,10:00,4/27/2015,12:08,4/27/2015,13:19,42.6044,-70.4587,42.58976,-70.4447
2015,25151,6,260-2,26,514,ROUGH,MARY ELIZABETH,4/27/2015,15:56:00,4/27/2015,16:12,4/27/2015,18:17,4/27/2015,19:32,42.4973,-70.3035,42.48346,-70.2916
2015,25151,7,261-1,26,514,SMOOTH,MARY ELIZABETH,4/27/2015,22:16:00,4/27/2015,22:35,4/28/2015,12:39,4/28/2015,1:36,42.29258,-70.5779,42.30643,-70.5889
2015,25151,8,271-2,27,513,SMOOTH,MARY ELIZABETH,4/29/2015,23:56:00,4/30/2015,12:13,4/30/2015,2:15,4/30/2015,3:29,43.03688,-70.2732,43.04998,-70.2851
2015,25151,9,260-1,26,513,ROUGH,MARY ELIZABETH,4/30/2015,6:07:00,4/30/2015,6:24,4/30/2015,8:31,4/30/2015,9:50,43.15581,-70.0273,43.14139,-70.0139
2015,25151,10,270-2,27,513,ROUGH,MARY ELIZABETH,4/30/2015,12:24:00,4/30/2015,12:41,4/30/2015,14:43,4/30/2015,15:49,43.01989,-70.1088,43.03251,-70.1002
2015,25151,11,280-1,28,513,ROUGH,MARY ELIZABETH,5/2/2015,7:49:00,5/2/2015,8:06,5/2/2015,10:11,5/2/2015,11:19,42.91134,-69.7758,42.90117,-69.7603
2015,25151,12,280-4,28,513,ROUGH,MARY ELIZABETH,5/2/2015,13:50:00,5/2/2015,14:07,5/2/2015,16:09,5/2/2015,17:17,42.98866,-69.8003,43.0017,-69.813
2015,25151,13,370-6,37,513,ROUGH,MARY ELIZABETH,5/2/2015,19:51:00,5/2/2015,20:10,5/2/2015,22:12,5/2/2015,23:29,43.11572,-69.5825,43.10198,-69.568
2015,25151,14,370-4,37,515,ROUGH,MARY ELIZABETH,5/3/2015,8:22:00,5/3/2015,8:42,5/3/2015,10:45,5/3/2015,11:54,43.02051,-68.9863,43.00771,-68.9707
2015,25151,15,370-1,37,515,ROUGH,MARY ELIZABETH,5/3/2015,14:29:00,5/3/2015,14:48,5/3/2015,16:52,5/3/2015,17:59,43.01905,-68.893,43.03123,-68.9085
2015,25151,16,370-5,37,515,ROUGH,MARY ELIZABETH,5/3/2015,20:30:00,5/3/2015,20:50,5/3/2015,22:54,5/4/2015,12:00,43.10609,-68.976,43.12139,-68.9796
2015,25151,17,371-1,37,513,SMOOTH,MARY ELIZABETH,5/4/2015,2:41:00,5/4/2015,3:08,5/4/2015,5:15,5/4/2015,6:22,43.23425,-69.198,43.24925,-69.2116
2015,25151,18,290-5,29,515,ROUGH,MARY ELIZABETH,5/5/2015,15:45:00,5/5/2015,16:05,5/5/2015,18:10,5/5/2015,19:17,42.68806,-68.1233,42.7047,-68.1323
2015,25151,19,290-3,29,515,ROUGH,MARY ELIZABETH,5/5/2015,21:56:00,5/5/2015,22:17,5/6/2015,12:21,5/6/2015,1:34,42.73547,-67.9124,42.72205,-67.899
2015,25151,20,360-2,36,515,ROUGH,MARY ELIZABETH,5/6/2015,10:19:00,5/6/2015,10:36,5/6/2015,12:39,5/6/2015,13:54,43.0815,-67.7338,43.06997,-67.716
2015,25151,21,360-5,36,515,ROUGH,MARY ELIZABETH,5/6/2015,16:27:00,5/6/2015,16:44,5/6/2015,18:48,5/6/2015,21:03,43.05554,-67.7549,43.06623,-67.7723
2015,25151,22,361-1,36,515,SMOOTH,MARY ELIZABETH,5/6/2015,23:24:00,5/6/2015,23:45,5/7/2015,1:52,5/7/2015,2:57,42.99924,-68.1088,43.01098,-68.1161
2015,25151,23,360-3,36,515,ROUGH,MARY ELIZABETH,5/7/2015,11:01:00,5/7/2015,11:21,5/7/2015,13:27,5/7/2015,14:32,42.93796,-68.0881,42.93118,-68.0682
2015,25151,24,360-1,36,515,ROUGH,MARY ELIZABETH,5/7/2015,17:09:00,5/7/2015,17:30,5/7/2015,19:34,5/7/2015,20:37,42.89189,-68.0289,42.90247,-68.0444
2015,24152,1,270-1,27,521,ROUGH,TENACIOUS II,10/21/2015,9:12:00,10/21/2015,9:22,10/21/2015,11:36,10/21/2015,12:22,42.25549,-69.9155,42.26994,-69.9181
2015,24152,2,280-3,28,514,ROUGH,TENACIOUS II,10/21/2015,15:08:00,10/21/2015,15:18,10/21/2015,17:26,10/21/2015,18:15,42.51448,-69.6972,42.49921,-69.6915
2015,24152,3,270-4,27,514,ROUGH,TENACIOUS II,10/21/2015,20:59:00,10/21/2015,21:11,10/21/2015,23:13,10/22/2015,12:08,42.48513,-70.0286,42.49967,-70.0393
2015,24152,4,271-2,27,521,SMOOTH,TENACIOUS II,10/24/2015,17:53:00,10/24/2015,18:03,10/24/2015,20:10,10/24/2015,20:51,42.1066,-69.779,42.09172,-69.7712
2015,24152,5,270-3,27,521,ROUGH,TENACIOUS II,10/25/2015,12:01:00,10/25/2015,12:11,10/25/2015,2:13,10/25/2015,2:55,42.11675,-69.9425,42.13021,-69.9547
2015,24152,6,270-5,27,521,ROUGH,TENACIOUS II,10/25/2015,12:34:00,10/25/2015,12:43,10/25/2015,15:03,10/25/2015,15:52,42.25283,-69.9714,42.2665,-69.9795
2015,24152,7,260-5,26,514,ROUGH,TENACIOUS II,10/25/2015,19:34:00,10/25/2015,19:45,10/25/2015,21:41,10/25/2015,22:23,42.18051,-70.3427,42.16299,-70.3457
2015,24152,8,290-6,29,515,ROUGH,TENACIOUS II,10/27/2015,8:08:00,10/27/2015,8:18,10/27/2015,10:23,10/27/2015,11:10,42.71789,-68.4271,42.70194,-68.4207
2015,24152,9,290-2,29,515,ROUGH,TENACIOUS II,10/27/2015,14:18:00,10/27/2015,14:28,10/27/2015,16:30,10/27/2015,17:13,42.44442,-68.072,42.45853,-68.0861
2015,24152,10,291-1,29,522,SMOOTH,TENACIOUS II,10/27/2015,20:36:00,10/27/2015,20:45,10/27/2015,22:51,10/27/2015,23:44,42.07574,-68.2403,42.05961,-68.2378
2015,24152,11,280-5,28,521,ROUGH,TENACIOUS II,10/28/2015,8:51:00,10/28/2015,9:00,10/28/2015,11:04,10/28/2015,11:45,42.177,-69.4154,42.16023,-69.4133
2015,24152,12,280-4,28,515,ROUGH,TENACIOUS II,10/31/2015,17:53:00,10/31/2015,18:02,10/31/2015,20:15,10/31/2015,20:58,42.55315,-69.0494,42.54371,-69.032
2015,24152,13,281-1,28,515,SMOOTH,TENACIOUS II,10/31/2015,23:53:00,11/1/2015,12:03,11/1/2015,2:05,11/1/2015,2:52,42.41571,-68.8382,42.4003,-68.8367
2015,24152,14,280-1,28,514,ROUGH,TENACIOUS II,11/1/2015,12:25:00,11/1/2015,12:37,11/1/2015,14:39,11/1/2015,15:23,42.82394,-69.6838,42.80752,-69.6856
2015,24152,15,281-2,28,514,SMOOTH,TENACIOUS II,11/1/2015,18:26:00,11/1/2015,18:36,11/1/2015,20:40,11/1/2015,21:28,42.7951,-69.8908,42.81136,-69.894
2015,24152,16,290-4,29,515,ROUGH,TENACIOUS II,11/3/2015,8:21:00,11/3/2015,8:31,11/3/2015,10:40,11/3/2015,11:30,42.63943,-67.8396,42.65462,-67.8501
2015,24152,17,290-5,29,464,ROUGH,TENACIOUS II,11/3/2015,14:15:00,11/3/2015,14:25,11/3/2015,16:29,11/3/2015,17:24,42.54925,-67.5201,42.533,-67.5177
2015,24152,18,290-3,29,561,ROUGH,TENACIOUS II,11/3/2015,20:27:00,11/3/2015,20:37,11/3/2015,22:41,11/3/2015,23:33,42.20985,-67.6383,42.22335,-67.6396
2015,24152,19,290-1,29,515,ROUGH,TENACIOUS II,11/4/2015,9:32:00,11/4/2015,9:43,11/4/2015,11:53,11/4/2015,12:41,42.57696,-67.7825,42.59288,-67.7833
2015,24152,20,291-2,29,515,SMOOTH,TENACIOUS II,11/4/2015,15:02:00,11/4/2015,15:12,11/4/2015,17:11,11/4/2015,18:01,42.7312,-68.1452,42.71446,-68.144
2015,24152,21,360-5,36,515,ROUGH,TENACIOUS II,11/4/2015,21:27:00,11/4/2015,21:37,11/4/2015,23:41,11/5/2015,12:31,42.94043,-68.2733,42.92392,-68.2721
2015,24152,22,371-1,37,515,SMOOTH,TENACIOUS II,11/5/2015,10:04:00,11/5/2015,10:14,11/5/2015,12:17,11/5/2015,13:04,42.60427,-68.7956,42.61897,-68.7996
2015,24152,23,280-2,28,515,ROUGH,TENACIOUS II,11/5/2015,16:02:00,11/5/2015,16:13,11/5/2015,18:16,11/5/2015,19:04,42.45511,-68.8048,42.43818,-68.8012
2015,25152,1,261-1,26,514,SMOOTH,MARY ELIZABETH,10/24/2015,17:55:00,10/24/2015,18:16,10/24/2015,20:23,10/24/2015,21:29,42.65301,-70.2886,42.66891,-70.2945
2015,25152,2,260-2,26,514,ROUGH,MARY ELIZABETH,10/24/2015,23:56:00,10/25/2015,12:16,10/25/2015,2:24,10/25/2015,3:31,42.46641,-70.3941,42.47931,-70.4084
2015,25152,4,260-3,26,514,ROUGH,MARY ELIZABETH,10/25/2015,19:39:00,10/25/2015,19:59,10/25/2015,22:04,10/25/2015,23:13,42.31183,-70.4396,42.32669,-70.452
2015,25152,5,261-2,26,514,SMOOTH,MARY ELIZABETH,10/26/2015,19:31:00,10/26/2015,19:51,10/26/2015,21:53,10/26/2015,22:56,42.79006,-70.2067,42.77985,-70.188
2015,25152,6,271-1,27,513,SMOOTH,MARY ELIZABETH,10/27/2015,7:51:00,10/27/2015,8:09,10/27/2015,10:13,10/27/2015,11:07,42.90326,-70.0082,42.8883,-69.9952
2015,25152,7,270-2,27,513,ROUGH,MARY ELIZABETH,10/27/2015,14:09:00,10/27/2015,14:28,10/27/2015,16:31,10/27/2015,17:44,42.86095,-70.34,42.86873,-70.3609
2015,25152,8,260-4,26,514,ROUGH,MARY ELIZABETH,10/27/2015,20:25:00,10/27/2015,20:43,10/27/2015,22:48,10/27/2015,23:49,42.75994,-70.3585,42.74528,-70.3469
2015,25152,9,361-1,36,515,SMOOTH,MARY ELIZABETH,10/31/2015,11:54:00,10/31/2015,12:13,10/31/2015,14:30,10/31/2015,15:19,42.79837,-67.9258,42.79354,-67.9094
2015,25152,10,360-1,36,515,ROUGH,MARY ELIZABETH,10/31/2015,17:26:00,10/31/2015,17:44,10/31/2015,19:49,10/31/2015,21:04,42.82019,-67.7245,42.83603,-67.7293
2015,25152,11,360-4,36,515,ROUGH,MARY ELIZABETH,10/31/2015,23:47:00,11/1/2015,12:06,11/1/2015,2:13,11/1/2015,3:32,42.94903,-67.8985,42.93648,-67.8801
2015,25152,12,360-6,36,515,ROUGH,MARY ELIZABETH,11/1/2015,12:10:00,11/1/2015,12:28,11/1/2015,14:50,11/1/2015,16:02,43.03299,-67.9862,43.04531,-68.0004
2015,25152,13,360-2,36,515,ROUGH,MARY ELIZABETH,11/1/2015,18:26:00,11/1/2015,18:50,11/1/2015,20:52,11/1/2015,21:49,43.07638,-68.009,43.09172,-68.0146
2015,25152,14,361-2,36,515,SMOOTH,MARY ELIZABETH,11/2/2015,12:45:00,11/2/2015,1:07,11/2/2015,3:17,11/2/2015,4:23,43.158,-68.0103,43.17148,-68.0004
2015,25152,15,360-3,36,515,ROUGH,MARY ELIZABETH,11/2/2015,13:06:00,11/2/2015,13:24,11/2/2015,15:30,11/2/2015,16:27,43.11526,-68.5081,43.10393,-68.5015
2015,25152,16,371-2,37,515,SMOOTH,MARY ELIZABETH,11/2/2015,19:17:00,11/2/2015,19:36,11/2/2015,21:39,11/2/2015,22:39,43.16871,-68.6333,43.15613,-68.6201
2015,25152,17,370-6,37,513,ROUGH,MARY ELIZABETH,11/4/2015,9:05:00,11/4/2015,9:23,11/4/2015,11:30,11/4/2015,12:38,43.15333,-69.5891,43.1424,-69.5734
2015,25152,18,370-5,37,513,ROUGH,MARY ELIZABETH,11/4/2015,15:02:00,11/4/2015,15:22,11/4/2015,17:26,11/4/2015,18:36,43.06143,-69.601,43.05062,-69.5833
2015,25152,19,370-2,37,515,ROUGH,MARY ELIZABETH,11/4/2015,21:18:00,11/4/2015,21:38,11/4/2015,23:40,11/5/2015,12:52,42.94057,-69.1564,42.94171,-69.1764
2015,25152,20,370-1,37,515,ROUGH,MARY ELIZABETH,11/5/2015,10:03:00,11/5/2015,10:24,11/5/2015,12:35,11/5/2015,13:37,42.89455,-69.0196,42.90633,-69.0094
2015,25152,21,370-4,37,515,ROUGH,MARY ELIZABETH,11/5/2015,15:58:00,11/5/2015,16:20,11/5/2015,18:25,11/5/2015,19:28,42.83751,-69.1255,42.85101,-69.1198
2015,25152,22,370-3,37,515,ROUGH,MARY ELIZABETH,11/5/2015,22:16:00,11/5/2015,22:39,11/6/2015,12:46,11/6/2015,2:11,42.81707,-69.3319,42.83033,-69.3234
